Year Month,Zone_ZipCode,Customer Class,Water_Demand_Gallons,Year,Month,Avg_Temp_F,Total_Precip_Inches,Avg_Humidity
201201,78613,Irrigation - Multi-Family,"11,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78613,Multi-Family,"23,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78617,Residential,"1,98,56,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78617,Multi-Family,"25,59,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78652,Irrigation - Residential,"38,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78652,Residential,"6,32,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78653,Residential,"14,87,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78653,Multi-Family,"99,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78660,Multi-Family,"1,73,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78660,Residential,"72,38,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78701,Residential,"11,80,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78701,Multi-Family,"1,26,38,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78701,Irrigation - Multi-Family,"2,04,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78702,Residential,"2,83,91,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78702,Irrigation - Multi-Family,"3,91,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78702,Multi-Family,"1,04,64,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78702,Irrigation - Residential,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78703,Multi-Family,"1,22,87,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78703,Irrigation - Residential,"7,84,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78703,Irrigation - Multi-Family,"4,11,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78703,Residential,"4,30,30,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78703-1834,Residential,"3,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78704,Residential,"4,13,73,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78704,Irrigation - Multi-Family,"8,36,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78704,Irrigation - Residential,"1,04,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78704,Multi-Family,"4,85,78,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78705,Multi-Family,"2,30,73,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78705,Irrigation - Residential,"28,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78705,Residential,"82,54,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78705,Irrigation - Multi-Family,"3,64,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78712,Residential,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78717,Multi-Family,"84,87,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78717,Residential,"2,43,85,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78717,Irrigation - Residential,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78717,Irrigation - Multi-Family,"14,91,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78719,Residential,"16,29,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78719,Multi-Family,"6,90,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78721,Irrigation - Multi-Family,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78721,Residential,"1,58,38,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78721,Irrigation - Residential,"5,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78721,Multi-Family,"51,09,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78722,Multi-Family,"24,88,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78722,Irrigation - Residential,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78722,Residential,"80,86,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78722,Irrigation - Multi-Family,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78723,Residential,"3,35,11,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78723,Irrigation - Multi-Family,"1,80,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78723,Multi-Family,"2,18,08,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78724,Irrigation - Residential,"18,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78724,Irrigation - Multi-Family,"3,93,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78724,Multi-Family,"1,17,20,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78724,Residential,"2,11,89,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78725,Multi-Family,"2,93,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78725,Residential,"21,21,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78725,Irrigation - Multi-Family,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78726,Residential,"1,38,07,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78726,Irrigation - Residential,"2,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78726,Multi-Family,"1,18,58,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78726,Irrigation - Multi-Family,"19,98,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78727,Irrigation - Multi-Family,"17,84,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78727,Irrigation - Residential,"1,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78727,Multi-Family,"1,98,31,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78727,Residential,"3,47,74,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78728,Multi-Family,"76,76,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78728,Residential,"35,98,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78728,Irrigation - Multi-Family,"3,01,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78729,Residential,"1,97,36,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78729,Irrigation - Residential,"1,800",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78729,Multi-Family,"2,23,17,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78729,Irrigation - Multi-Family,"13,30,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78730,Residential,"50,74,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78730,Multi-Family,"52,60,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78730,Irrigation - Residential,"2,24,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78730,Irrigation - Multi-Family,"5,02,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78731,Residential,"5,10,32,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78731,Multi-Family,"1,68,57,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78731,Irrigation - Multi-Family,"6,60,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78731,Irrigation - Residential,"2,09,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78735,Residential,"1,65,97,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78735,Multi-Family,"1,00,94,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78735,Irrigation - Multi-Family,"8,19,400",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78736,Irrigation - Multi-Family,"2,60,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78736,Multi-Family,"32,73,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78736,Irrigation - Residential,"2,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78736,Residential,"1,11,72,700",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78737,Irrigation - Residential,"5,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78737,Residential,"48,51,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78738,Residential,"7,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78739,Irrigation - Residential,0,2012,1,54.329032258064515,5.206,63.57096774193548
201201,78739,Residential,"3,18,58,900",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78741,Irrigation - Multi-Family,"19,31,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78741,Irrigation - Residential,"4,600",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78741,Multi-Family,"7,71,10,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78741,Residential,"1,88,64,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78742,Multi-Family,"3,87,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78742,Residential,"6,82,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78744,Multi-Family,"2,39,82,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78744,Irrigation - Residential,"2,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78744,Irrigation - Multi-Family,"5,77,000",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78744,Residential,"5,21,27,200",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78745,Irrigation - Residential,"10,500",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78745,Multi-Family,"3,45,53,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78745,Irrigation - Multi-Family,"8,48,100",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78745,Residential,"7,49,92,300",2012,1,54.329032258064515,5.206,63.57096774193548
201201,78746,Multi-Family,"1,34,58,100",2012,1,54.329032258064515,5.206,63.57096774193548
